nohup: ignoring input
Disabling PyTorch because PyTorch >= 2.4 is required but found 2.2.2
PyTorch was not found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
Loaded Phase 2 checkpoint — Dev AUC 0.9912  Dev Acc 0.9530
All 59 param groups unfrozen for Phase 3

=================================================================
  AudioGuard RawNet3-FSAT — Phase 3 Adversarial Training
=================================================================
Device  : cuda  |  AMP: True
FGSM ε=0.005  PGD ε=0.005/3-step  F-SAT ε=0.01  adv_ratio=0.4

Scanning data (cap 80k orig, all hard)...
  for_dataset                                   real= 84,756  fake= 84,980
  realvsfake_voice                              real=     20  fake=     60
  wavefake                                      real= 13,100  fake=134,266
Mixed   : 80,000 total samples (for_dataset + realvsfake_voice + wavefake)
Split   : Train 64,002 | Dev 7,999 | Eval 7,999

=================================================================
  Training
=================================================================
  Ep4 step 2200/2667 | loss 0.0251 (clean 0.0179 adv 0.0728)
  Ep4 step 2250/2667 | loss 0.0317 (clean 0.0189 adv 0.1279)
  Ep4 step 2300/2667 | loss 0.0494 (clean 0.0397 adv 0.0973)
  Ep4 step 2350/2667 | loss 0.0277 (clean 0.0144 adv 0.1330)
  Ep4 step 2400/2667 | loss 0.0487 (clean 0.0317 adv 0.1703)
  Ep4 step 2450/2667 | loss 0.0494 (clean 0.0343 adv 0.1517)
  Ep4 step 2500/2667 | loss 0.0639 (clean 0.0516 adv 0.1234)
  Ep4 step 2550/2667 | loss 0.0961 (clean 0.0755 adv 0.2054)
  Ep4 step 2600/2667 | loss 0.0617 (clean 0.0372 adv 0.2450)
  Ep4 step 2650/2667 | loss 0.0635 (clean 0.0482 adv 0.1537)
Ep 04/6 | Loss 0.0565 | AUC 0.9833 | Acc 0.9051 | F1 0.9277
  Ep5 step 50/2667 | loss 0.1580 (clean 0.1354 adv 0.2252)
  Ep5 step 100/2667 | loss 0.0464 (clean 0.0233 adv 0.2310)
  Ep5 step 150/2667 | loss 0.0415 (clean 0.0291 adv 0.1240)
  Ep5 step 200/2667 | loss 0.0421 (clean 0.0239 adv 0.1827)
  Ep5 step 250/2667 | loss 0.0470 (clean 0.0325 adv 0.1456)
  Ep5 step 300/2667 | loss 0.0436 (clean 0.0325 adv 0.1109)
  Ep5 step 350/2667 | loss 0.0326 (clean 0.0156 adv 0.1697)
  Ep5 step 400/2667 | loss 0.0410 (clean 0.0286 adv 0.1244)
  Ep5 step 450/2667 | loss 0.0835 (clean 0.0620 adv 0.2155)
  Ep5 step 500/2667 | loss 0.0316 (clean 0.0240 adv 0.0761)
  Ep5 step 550/2667 | loss 0.0361 (clean 0.0250 adv 0.1116)
  Ep5 step 600/2667 | loss 0.0602 (clean 0.0428 adv 0.1739)
  Ep5 step 650/2667 | loss 0.0710 (clean 0.0506 adv 0.2037)
  Ep5 step 700/2667 | loss 0.0574 (clean 0.0409 adv 0.1645)
  Ep5 step 750/2667 | loss 0.0248 (clean 0.0163 adv 0.0852)
  Ep5 step 800/2667 | loss 0.0715 (clean 0.0532 adv 0.1823)
  Ep5 step 850/2667 | loss 0.0376 (clean 0.0246 adv 0.1299)
  Ep5 step 900/2667 | loss 0.0302 (clean 0.0216 adv 0.0857)
  Ep5 step 950/2667 | loss 0.0531 (clean 0.0400 adv 0.1312)
  Ep5 step 1000/2667 | loss 0.0333 (clean 0.0251 adv 0.0829)
  Ep5 step 1050/2667 | loss 0.0554 (clean 0.0386 adv 0.1680)
  Ep5 step 1100/2667 | loss 0.0361 (clean 0.0265 adv 0.0957)
  Ep5 step 1150/2667 | loss 0.0306 (clean 0.0208 adv 0.0977)
  Ep5 step 1200/2667 | loss 0.0353 (clean 0.0262 adv 0.0909)
  Ep5 step 1250/2667 | loss 0.0618 (clean 0.0345 adv 0.2725)
  Ep5 step 1300/2667 | loss 0.0245 (clean 0.0169 adv 0.0756)
  Ep5 step 1350/2667 | loss 0.0630 (clean 0.0339 adv 0.2906)
  Ep5 step 1400/2667 | loss 0.0528 (clean 0.0458 adv 0.0701)
  Ep5 step 1450/2667 | loss 0.0202 (clean 0.0172 adv 0.0298)
  Ep5 step 1500/2667 | loss 0.0351 (clean 0.0226 adv 0.1252)
  Ep5 step 1550/2667 | loss 0.0486 (clean 0.0281 adv 0.2056)
  Ep5 step 1600/2667 | loss 0.0458 (clean 0.0214 adv 0.2440)
  Ep5 step 1650/2667 | loss 0.0804 (clean 0.0657 adv 0.1471)
  Ep5 step 1700/2667 | loss 0.0887 (clean 0.0628 adv 0.2588)
  Ep5 step 1750/2667 | loss 0.0526 (clean 0.0394 adv 0.1311)
  Ep5 step 1800/2667 | loss 0.0434 (clean 0.0309 adv 0.1249)
  Ep5 step 1850/2667 | loss 0.0425 (clean 0.0276 adv 0.1490)
  Ep5 step 1900/2667 | loss 0.0339 (clean 0.0278 adv 0.0617)
  Ep5 step 1950/2667 | loss 0.0525 (clean 0.0424 adv 0.1016)
  Ep5 step 2000/2667 | loss 0.0213 (clean 0.0141 adv 0.0718)
  Ep5 step 2050/2667 | loss 0.0427 (clean 0.0331 adv 0.0958)
  Ep5 step 2100/2667 | loss 0.0406 (clean 0.0268 adv 0.1382)
  Ep5 step 2150/2667 | loss 0.0372 (clean 0.0271 adv 0.1005)
  Ep5 step 2200/2667 | loss 0.0570 (clean 0.0278 adv 0.2916)
  Ep5 step 2250/2667 | loss 0.0644 (clean 0.0547 adv 0.0968)
  Ep5 step 2300/2667 | loss 0.0528 (clean 0.0426 adv 0.1018)
  Ep5 step 2350/2667 | loss 0.0424 (clean 0.0251 adv 0.1728)
  Ep5 step 2400/2667 | loss 0.0422 (clean 0.0244 adv 0.1774)
  Ep5 step 2450/2667 | loss 0.0451 (clean 0.0274 adv 0.1772)
  Ep5 step 2500/2667 | loss 0.0231 (clean 0.0149 adv 0.0825)
  Ep5 step 2550/2667 | loss 0.0810 (clean 0.0613 adv 0.1972)
  Ep5 step 2600/2667 | loss 0.0574 (clean 0.0374 adv 0.2001)
  Ep5 step 2650/2667 | loss 0.0306 (clean 0.0186 adv 0.1200)
Ep 05/6 | Loss 0.0543 | AUC 0.9837 | Acc 0.8827 | F1 0.9083

Early stopping at epoch 5.

Best Phase 3 Dev AUC : 0.9854

=================================================================
  PHASE 3 ROBUSTNESS EVALUATION
=================================================================
  Clean      — AUC 0.9852  Acc 0.9229  F1 0.9422
  FGSM       — AUC 0.2469  Acc 0.2015  F1 0.2106
  PGD-3      — AUC 0.1536  Acc 0.1726  F1 0.1908
  F-SAT      — AUC 0.8344  Acc 0.6736  F1 0.7266

Checkpoint : /home/rit/deepfake_project/audio/checkpoints/rawnet3_phase3b.pt
Metrics    : /home/rit/deepfake_project/audio/logs/phase3b_metrics.json
Log        : /home/rit/deepfake_project/audio/logs/phase3b_log.csv
